time	zreal	zimag	zmag	zphase	frequency	temperature	humidity
0.1964803841	902302	-3924.83	902311	-0.00434978	1000	22.52	65.27
1.176629717	899749	-3855.87	899758	-0.00428546	1000	22.77	65.25
2.190304384	868764	-3805.11	868773	-0.0043796	1000	24.02	65.21
3.180272385	824670	-3860.62	824680	-0.00468172	1000	25.61	65.18
4.195029717	775192	-3741.03	775202	-0.00482586	1000	27.22	65.14
5.187237717	728413	-3617.67	728422	-0.00496638	1000	28.66	65.11
6.178363049	684960	-3558.5	684969	-0.0051951	1000	30.15	65.09
7.181024384	644990	-3102.6	644998	-0.00480982	1000	31.61	65.07
8.18260305	612045	-3269.63	612054	-0.00534216	1000	32.69	65.06
9.189333716	595367	-3041.01	595375	-0.00510762	1000	32.93	65.06
10.18467772	590505	-3198.5	590514	-0.00541657	1000	32.75	65.05
11.17957372	584931	-3164.69	584940	-0.00541017	1000	32.87	65.06
12.25738705	572361	-3133.5	572370	-0.00547534	1000	33.38	65.07
13.18164838	562165	-3014.63	562173	-0.0053625	1000	33.77	65.08
14.17856038	551568	-3100.31	551576	-0.00562086	1000	34.22	65.08
15.17543505	542698	-2964.33	542706	-0.00546234	1000	34.52	65.08
16.18795238	535345	-2927.93	535353	-0.00546906	1000	34.73	65.08
17.18128038	528829	-2928.29	528838	-0.00553728	1000	34.97	65.09
18.18442705	521759	-2767.28	521767	-0.00530368	1000	35.29	65.08
19.18600572	513341	-2810.41	513349	-0.00547454	1000	35.68	65.08
20.18205905	505456	-2633.6	505463	-0.00521036	1000	36.07	65.05
21.17400572	498828	-2833.17	498836	-0.00567968	1000	36.36	65.05
22.17823505	492573	-2846.9	492581	-0.0057797	1000	36.57	65.03
23.18186705	487742	-2799.94	487750	-0.00574054	1000	36.78	65.02
24.18389372	480875	-2763.19	480883	-0.00574596	1000	37.16	64.99
25.18928038	472647	-2654.2	472654	-0.00561555	1000	37.6	64.96
26.17880038	466138	-2683.9	466146	-0.00575756	1000	37.87	64.93
27.18041638	461472	-2585.63	461479	-0.00560294	1000	38.05	64.91
28.18352572	457550	-2696.5	457558	-0.00589332	1000	38.22	64.89
29.18514172	451332	-2646.49	451340	-0.00586356	1000	38.6	64.85
30.17290705	444412	-2449.45	444418	-0.00551169	1000	39.02	64.84
31.17892838	439208	-2655.22	439217	-0.00604547	1000	39.25	64.82
32.18315772	435437	-2433.4	435444	-0.00558829	1000	39.4	64.82
33.18477372	431782	-2571.16	431789	-0.00595468	1000	39.6	64.82
34.18792038	426232	-2510.56	426240	-0.00589012	1000	39.98	64.82
35.18837905	420194	-2559.64	420202	-0.0060915	1000	40.36	64.81
36.17905638	415795	-2486.88	415802	-0.00598095	1000	40.54	64.8
37.18328572	412710	-2443.8	412717	-0.00592131	1000	40.65	64.79
38.18378172	409711	-2457.01	409718	-0.00599687	1000	40.88	64.78
39.17598972	405002	-2414.67	405010	-0.00596201	1000	41.21	64.8
40.17753105	400760	-2329.22	400766	-0.00581183	1000	41.5	64.81
41.18071505	397133	-2294.78	397139	-0.00577828	1000	41.73	64.82
42.18233105	394249	-2339.31	394256	-0.00593348	1000	41.87	64.84
43.18656038	392324	-2350.88	392331	-0.0059922	1000	41.99	64.86
44.18705638	388748	-2292.47	388755	-0.00589704	1000	42.34	64.88
45.17926438	384711	-2212.21	384718	-0.00575027	1000	42.63	64.9
46.18326972	381567	-2264.83	381574	-0.00593556	1000	42.83	64.9
47.18510972	379370	-2273.5	379376	-0.00599273	1000	42.92	64.91
48.18560572	377364	-2259.22	377371	-0.00598668	1000	43.09	64.93
49.18606438	374386	-2278.49	374393	-0.0060859	1000	43.29	64.95
50.17935505	371200	-2144.06	371206	-0.005776	1000	43.55	64.99
51.18097105	368412	-2174.75	368418	-0.00590292	1000	43.73	65.01
52.18142972	366663	-2194.39	366669	-0.00598465	1000	43.81	65.04
53.18099238	365058	-2140.45	365064	-0.00586319	1000	43.93	65.05
54.17898705	362800	-2122.42	362806	-0.00585001	1000	44.16	65.09
55.19154172	360232	-2185.73	360239	-0.00606751	1000	44.36	65.14
56.17997905	358192	-2182.37	358199	-0.00609268	1000	44.47	65.19
57.18088572	356855	-2061.71	356861	-0.00577743	1000	44.53	65.25
58.18578705	355706	-2085.83	355712	-0.00586382	1000	44.65	65.29
59.18893372	353890	-2112.47	353897	-0.00596923	1000	44.85	65.35
60.17961105	351849	-2064.05	351855	-0.0058662	1000	45.02	65.41
61.18275772	350613	-2045.56	350619	-0.00583411	1000	45.08	65.48
62.18258172	349687	-2080.86	349693	-0.00595056	1000	45.14	65.55
63.17658172	349010	-2055.56	349017	-0.00588953	1000	45.22	65.63
64.18081105	347660	-1996.71	347665	-0.00574321	1000	45.37	65.7
65.18238972	346420	-2044.4	346426	-0.00590142	1000	45.48	65.76
66.18288572	345619	-2014.98	345625	-0.00582993	1000	45.54	65.85
67.18338172	345087	-2062	345093	-0.00597521	1000	45.57	65.92
68.17667238	344715	-2076.73	344721	-0.00602447	1000	45.62	66.01
69.18093905	343872	-2023.97	343878	-0.00588574	1000	45.71	66.1
70.17781371	343156	-2005.93	343162	-0.00584547	1000	45.82	66.18
71.18301372	342937	-1982.39	342943	-0.00578055	1000	45.8	66.26
72.18724305	342918	-2004.78	342924	-0.00584614	1000	45.8	66.34
73.18773905	342857	-1975.84	342862	-0.00576282	1000	45.88	66.4
74.18931772	342483	-1962.04	342489	-0.0057288	1000	45.91	66.47
75.19246438	342382	-1905.01	342388	-0.00556399	1000	45.94	66.55
76.18310438	342497	-1924.67	342503	-0.00561946	1000	45.91	66.63
77.18737105	342767	-1925.31	342772	-0.00561692	1000	45.94	66.71
78.17689105	342832	-1956.46	342838	-0.00570668	1000	45.94	66.79
79.18115772	343404	-1927.68	343409	-0.00561334	1000	45.91	66.89
80.18165372	343816	-1894.2	343821	-0.00550925	1000	45.91	66.98
81.18323238	344208	-1904.18	344214	-0.00553194	1000	45.85	67.06
82.17809105	345040	-1908.56	345045	-0.00553137	1000	45.82	67.15
83.18683772	345768	-1910.17	345774	-0.00552439	1000	45.8	67.21
84.18020305	346400	-1882.53	346405	-0.00543444	1000	45.74	67.28
85.18443239	347333	-1925.83	347338	-0.00554454	1000	45.68	67.36
86.18601105	348345	-1818.62	348350	-0.00522072	1000	45.62	67.42
87.18646972	349577	-1879.21	349582	-0.00537561	1000	45.57	67.49
88.17755772	350641	-1901.2	350647	-0.00542203	1000	45.51	67.54
89.18294438	351844	-1898.18	351849	-0.0053949	1000	45.42	67.62
90.18344038	353543	-1889.01	353548	-0.00534317	1000	45.31	67.69
91.18658705	355195	-1886.88	355200	-0.00531218	1000	45.22	67.74
92.18659772	356504	-1992.49	356509	-0.00558889	1000	45.14	67.81
93.17880572	357837	-1863.38	357842	-0.00520729	1000	45.05	67.85
94.19024038	359596	-1926.63	359602	-0.00535765	1000	44.93	67.9
95.18356838	361650	-1913.62	361655	-0.00529129	1000	44.76	67.95
96.18514705	363741	-1927.15	363747	-0.00529808	1000	44.62	67.98
97.17619772	365424	-1867.91	365429	-0.00511158	1000	44.56	68.01
98.18162172	367249	-1869.88	367254	-0.00509156	1000	44.42	68.05
